originator,OML.aic,GML.aic,Competitive Suppression.aic,Direct Suppression.aic,Generalized Competitive Suppression.aic,Generalized Direct Suppression.aic,ROE Competitive Suppression.aic,ROE Direct Suppression.aic
OML,309.708366625312,346.708190660896,390.889887116026,329.196622169898,421.480719254234,353.887352973234,326.68947234488,318.020674132609
originator,OML.aic,GML.aic,Competitive Suppression.aic,Direct Suppression.aic,Generalized Competitive Suppression.aic,Generalized Direct Suppression.aic,ROE Competitive Suppression.aic,ROE Direct Suppression.aic
OML,272.009028021424,302.058044281113,378.366647419304,305.536431647595,401.51530535586,320.107018358327,295.199198313714,295.145541143393
GML,306.850989167041,150.149515263017,325.405229997473,358.638403753419,283.163491376495,176.608001511271,290.090874546865,331.344619512067
originator,OML.aic,GML.aic,Competitive Suppression.aic,Direct Suppression.aic,Generalized Competitive Suppression.aic,Generalized Direct Suppression.aic,ROE Competitive Suppression.aic,ROE Direct Suppression.aic
OML,287.638947657703,315.586600347665,359.623288318717,324.416204804816,389.5651890261,333.882407035868,305.890678584551,310.765284364082
GML,316.826285740819,183.07443039035,349.369795463836,365.496951125629,294.460580840766,205.10917279968,312.799798683546,342.082268985643
Competitive Suppression,389.848005472874,395.859674753004,333.356841918099,430.275639441465,341.014981777006,416.967258601099,347.778812546307,415.38551345971
Direct Suppression,376.135575970694,393.202866795231,452.394722746353,365.351252493482,480.524491464695,391.610905295578,401.465917152675,380.190685829529
Generalized Competitive Suppression,417.632014493721,325.098717357242,355.871306485588,450.19197267649,266.684188719616,335.253263399208,362.542107889027,440.178100829663
Generalized Direct Suppression,323.049980221799,187.988078841764,353.932438033316,356.988962007836,313.401241487536,157.118563010584,320.283733352314,345.011062186988
ROE Competitive Suppression,288.841485134699,296.77830225558,321.104971658059,338.92272936455,350.919686730146,322.138514227126,268.561948759069,313.517124422271
ROE Direct Suppression,298.806737334589,332.419284973392,362.21016285464,341.008802877845,400.19938717263,349.305774206808,310.038559857904,314.514994512244
OML,283.097103794268,292.552699402898,377.086522538526,315.487582243279,399.642899832141,302.23822612729,308.134397435893,300.597166231797
GML,322.919780052537,170.976858455486,350.375165208238,365.057458618738,293.519022481393,185.872088327861,315.468120790003,347.898928876518
Competitive Suppression,387.312977266136,390.632017914882,328.609159179446,429.476707285533,352.028249813024,406.133996426992,339.161358784065,412.427330403651
Direct Suppression,367.863564413294,379.398909125142,433.156958365515,351.008724580201,445.568803418344,358.84087248842,387.029720731579,361.817045530633
Generalized Competitive Suppression,396.140964275747,318.267711131903,314.365511057305,429.355087296711,253.09076766871,324.607964137791,330.633739149447,419.034405363085
Generalized Direct Suppression,311.369542488063,176.588888777831,349.745661478576,353.45552671511,308.016392994141,150.179737520733,317.055206522901,334.104867798293
ROE Competitive Suppression,325.019129483487,333.578242795528,341.982167873193,359.622700419795,353.380819752179,354.288517372684,301.015491044396,349.501892371914
ROE Direct Suppression,302.906624687166,342.072962638675,364.356523086913,333.98012318033,402.302662076534,352.302614399175,321.780718998908,321.423105323805
OML,275.300805491229,310.047935873164,360.78234675412,318.521156752076,389.131047264994,339.072656752851,284.863971363126,299.672314837978
GML,307.78390334699,194.88555134925,347.955663425545,347.075066673676,318.421766592572,192.194173682697,309.798112224313,326.747030189144
Competitive Suppression,388.365020361894,391.883707867956,288.21284247009,431.106638021887,300.732527307817,412.883250062455,302.542216719327,408.956740042692
Direct Suppression,359.536292186513,377.546072267216,435.541140733247,346.757518186861,463.293513796726,376.267514265139,382.344616459989,361.105844405145
Generalized Competitive Suppression,401.91062957424,324.385755039312,333.628633666949,434.142785029784,246.204858251816,332.115592550195,354.963854010069,427.118061048914
Generalized Direct Suppression,320.389077278649,168.488888256624,341.409897132934,361.623635397115,286.347413447116,148.630059157102,320.530103743957,340.63667240097
ROE Competitive Suppression,306.378082668088,310.997261524304,359.046532175049,344.820941209808,389.395047387533,326.23449715508,295.075057618992,326.037499705823
ROE Direct Suppression,316.860183176794,351.719660082143,386.809551857049,344.924221442988,424.122625856662,362.912682893021,331.672131772732,338.741998848139
OML,275.527783191909,298.824844038723,352.658594628415,323.014618614868,383.77848047181,328.831548542486,293.15388265077,300.319184578533
GML,295.390652172435,167.581179674148,326.63650992405,350.259917779013,286.8070626827,192.296256753431,290.262059523885,320.438452395637
Competitive Suppression,385.069568918555,410.830398842015,327.09192230233,418.231693887324,364.841658183135,427.681930340939,328.36856485031,403.424279926881
Direct Suppression,325.923237207931,349.231801810819,398.062954941175,331.443748995355,435.665496999167,357.736356577319,339.44971769802,330.970798184307
Generalized Competitive Suppression,411.230653338102,335.954857825399,349.556942540314,446.199638558994,274.653027371952,344.789308766383,365.10222772107,435.913681015116
Generalized Direct Suppression,308.383726347764,184.113432854634,347.640653630501,349.162479054727,314.585145945981,157.824410165023,316.515000497927,333.498129746795
ROE Competitive Suppression,321.636368590152,341.345781363275,316.166512100457,360.533359100685,354.933177189714,359.079816904569,293.937179649168,341.009263664465
ROE Direct Suppression,307.383860496175,347.782989177217,371.338645577367,347.171933024349,407.683934404606,366.631226983298,327.740286290017,325.719833310298
OML,302.491709232029,302.005819071306,377.251026722638,334.907987584581,399.450774258841,319.015172140498,320.002391791661,321.118682682527
GML,318.447912751269,188.461793779697,351.121378341994,367.672719074242,313.0616230257,190.42718589305,316.157211739117,344.130374279972
Competitive Suppression,387.217704636441,414.020756849856,310.529429754503,427.757347184198,354.247880137537,432.574503226687,332.092712466995,409.335167095711
Direct Suppression,349.539322676396,376.611146360099,421.279116748174,329.108232082348,452.261149558019,363.531488667787,360.611348961503,338.107289366811
Generalized Competitive Suppression,388.644436919169,321.503936976666,334.843763939253,427.773792867474,273.735561089301,333.229570773591,353.796129363825,412.659766339225
Generalized Direct Suppression,333.92109980026,188.580963551457,347.0227468018,367.629463363904,300.40897085613,163.210268185591,327.725952614349,356.34155242618
ROE Competitive Suppression,310.087084185644,311.789496915666,336.688894825383,350.603722150993,362.830691679451,333.490234242981,289.286551415076,334.904272860213
ROE Direct Suppression,273.462793641235,290.15551417988,362.101068646502,304.015578332808,374.263611705067,302.757649888337,293.818724325519,295.2491415031
OML,319.786968161175,349.061941261076,395.782702655885,337.026518478616,419.494512043986,355.736358397409,338.334325410419,342.797316755641
GML,290.67562861556,146.543706687041,318.979415794197,344.915370605124,279.718362045058,176.324793477149,282.223784428256,314.651615238077
Competitive Suppression,367.220971998956,369.506392679735,314.465207017305,406.205666781807,343.972605683958,381.608442450446,321.287521762062,386.479878621073
Direct Suppression,372.087069329231,379.720408958863,468.696411104152,347.962961522314,490.075205011611,376.012933199477,398.827599071436,364.746952903773
Generalized Competitive Suppression,393.097513036332,313.448727392967,329.461615009345,430.698800452145,274.214645744964,324.913729714223,340.590274259369,418.403426033627
Generalized Direct Suppression,300.831138820158,163.223116837066,342.193862117069,345.087896292445,292.985953587034,132.015959463536,301.802514289526,321.898328405352
ROE Competitive Suppression,280.757151608055,301.997260689665,338.68593998351,323.204056803708,370.794256649664,322.920560005795,253.890053165967,304.410665135874
ROE Direct Suppression,270.901426561122,289.073394229748,361.49768818654,323.043612828134,386.128082521666,315.035780698795,291.015058409286,289.86192581527
OML,269.746822654295,291.066548010899,370.865738037928,304.8090874278,394.620084110994,307.191888191713,292.824246616818,284.57632224407
GML,316.945035072839,153.471382497912,347.632073084514,364.055497028209,296.777638483496,185.817149574691,313.480616587201,341.948962381582
Competitive Suppression,365.071513630117,370.380966652887,317.384491201297,409.765071862008,347.028694723308,386.790481242178,325.569082105617,387.69349772502
Direct Suppression,344.842343154611,364.25944065519,420.591232932586,339.855439642274,452.130799017842,356.494129020829,361.579050203569,354.404283570578
Generalized Competitive Suppression,389.645867428759,305.487536384362,310.455287406317,428.847689196549,227.098443148778,321.130528614486,317.902049611286,412.681880225844
Generalized Direct Suppression,316.676537551565,212.903864795941,351.887437540142,357.457685613126,310.247294148015,186.994718434093,320.071517076395,340.465647558482
ROE Competitive Suppression,297.319712755375,313.381156298469,316.234179497123,341.933464312854,337.408158765501,327.989469861737,278.186613299137,319.398694541984
ROE Direct Suppression,291.666151187959,307.81850809693,381.304406216784,326.077422033091,404.847689394595,324.841306100079,315.578350669261,307.803504425383
OML,277.441288206305,307.535716244475,368.743914132129,314.35872710006,409.021478150368,322.567897614838,295.336741344558,298.886136593999
GML,298.030719029156,143.981186947864,322.286934319547,349.049903888306,280.299265181245,167.933043153616,285.59791365393,323.136976755694
Competitive Suppression,397.578245724389,390.016144401809,324.272780855578,438.521175463242,344.640418356043,403.410365516874,340.888565327159,418.969383758632
Direct Suppression,353.345887350514,384.435733149393,428.047857579273,350.574973488647,462.377390910305,380.763340990061,376.77879416334,353.16865859311
Generalized Competitive Suppression,396.935116708788,295.604001658036,314.754546145131,430.704019881944,243.514484330941,299.087385225185,338.208109133151,422.17084175604
Generalized Direct Suppression,310.59789351807,159.987718731709,329.611385872086,357.092427243491,275.331987688443,145.297537853846,296.305259044218,334.801012690622
ROE Competitive Suppression,317.52344509803,321.868264626055,307.134474245288,362.077802294806,332.309726203097,351.381437871901,271.504701386899,339.376274433184
ROE Direct Suppression,315.303686054933,343.337166757011,389.108845546235,341.661275084881,422.650431004463,356.709774367345,331.949168312748,336.115954703347
OML,310.787721384836,320.616098811089,378.535566045181,338.651222813683,397.952459704681,337.124103164209,322.619866590427,334.600208460972
GML,304.450138592101,156.202944623867,338.150490345615,355.177190666708,306.4405106672,174.022709057487,303.707191613505,329.327889124575
Competitive Suppression,356.753457236055,358.009411640808,302.680988465859,405.553874804126,314.696056321354,373.176771454791,315.7521950228,377.031792608941
Direct Suppression,350.842352565115,365.003150186415,428.239842539178,330.869653698158,455.056690928145,357.921290033042,364.019446504083,345.833123119674
Generalized Competitive Suppression,385.712479254222,276.648379328521,308.834238477693,433.232883294104,236.340552826384,297.96256400906,322.820597681388,408.00554931183
Generalized Direct Suppression,317.699165930384,204.840843808397,359.37343058883,349.889471926106,323.913664759731,167.854912998404,327.837037452846,343.398680409205
ROE Competitive Suppression,318.366518789135,325.761416388792,313.525006922198,363.979181702487,345.224430267068,341.538125893297,286.849586948741,339.700343933556
ROE Direct Suppression,314.492316425538,329.34050250969,410.44955770711,338.036813763048,427.187430116542,349.34228424305,339.803362305407,327.765369010545
OML,327.119256125458,333.665938813834,405.558571458694,358.794578838865,429.894472383386,350.907450496306,349.738646228035,348.074703282332
GML,320.034949426611,166.745728526092,328.763978129825,363.595473176166,297.320931497142,180.022076657304,308.869597367526,342.989941287598
Competitive Suppression,377.540713907365,401.835814681707,327.13514730499,412.532064866871,361.609431900731,418.625630983007,340.469185771216,398.509190376042
Direct Suppression,376.264728740487,398.530373251767,438.692732012589,356.24813116842,471.09269314425,373.542145694694,394.675920439289,370.715547075538
Generalized Competitive Suppression,400.148976602551,328.101568567454,331.025509583945,437.392072402942,274.261172453651,342.039188728451,344.710007535293,422.846174373429
Generalized Direct Suppression,322.272485816265,194.045341165694,333.835045718962,359.644652641742,286.731253651998,172.947494392775,299.23795954548,344.825726550565
ROE Competitive Suppression,328.972343601695,341.74333753505,319.743336394865,367.400000570859,343.767217234587,366.288057112661,283.567555048715,350.092614078097
ROE Direct Suppression,279.196755135691,302.413909438462,374.526622719278,291.01859667227,391.222099073617,316.574258428089,300.791617219179,293.184610000058
OML,294.678032045594,308.026317563535,359.302761310648,327.193085950933,388.521020998763,320.114787428993,306.502170711919,314.402411602639
GML,311.428917679267,133.836561867104,330.83108232197,361.390532224396,272.772166361448,150.21026189438,301.674244193625,337.092491431377
Competitive Suppression,387.012362706801,385.710846963492,317.789610568245,424.06129708266,336.006636386836,395.51991978656,336.683252664269,408.710971075545
Direct Suppression,371.840691142697,392.86878280155,444.082859001324,349.089670337303,474.385416509005,378.523055639561,391.644990196477,368.632218644694
Generalized Competitive Suppression,413.251959763815,305.19943659718,343.058606895808,452.26273354687,253.728139264815,318.723965128935,362.687464349291,437.976793751365
Generalized Direct Suppression,326.387304040835,204.752962706893,365.320356141284,360.513026091718,328.584135656914,166.520506710904,335.086640681694,337.481169369413
ROE Competitive Suppression,314.21532116546,311.414075542051,330.43945465278,359.20246050288,368.508949689813,331.799577891025,294.854165127222,340.469926199092
ROE Direct Suppression,293.334298106039,326.010579680738,361.204663862887,335.497761645654,399.757924907932,342.954732378433,308.252348444757,312.794833680884
OML,276.353584394854,313.184975573253,356.624893862615,318.846011501009,391.700496388373,336.36240093782,280.777735772434,300.719384337888
GML,318.410249161245,169.038144163945,331.061915304299,367.833228588781,285.992508833855,190.628981069418,300.99525906695,344.070939787049
Competitive Suppression,382.733190529318,385.902271825331,304.36677337042,422.542065099916,334.351951871107,403.31642539035,322.104754423067,399.433508046092
Direct Suppression,365.063050598796,392.86418019881,431.958641894181,350.184532978403,465.686373261905,377.356289217024,385.937594828741,366.728167267583
Generalized Competitive Suppression,396.947628481645,308.210148057121,343.49117551274,433.216491359698,278.541507499909,317.555580240273,355.5038197236,422.781742436797
Generalized Direct Suppression,317.173147171986,202.610202671776,353.890827313769,357.07041478413,315.687114474649,177.452064864452,321.682369215737,341.895275065624
ROE Competitive Suppression,322.496520055119,350.498553725752,315.261342576085,370.229963455521,351.936823287651,374.999762399633,283.939963861871,346.737644417629
ROE Direct Suppression,305.334556664255,328.413806794572,375.03472669587,333.817184761773,410.353214549019,334.356936345951,316.248580744223,321.746417345024
OML,279.055169284605,297.278569685326,385.495690172082,300.872854530137,413.692785423254,313.813862301489,303.902267107547,297.532784979604
GML,318.373566023056,160.937433024675,349.41195946837,359.794703571118,293.863245599869,177.814716266141,320.725820156788,339.087068717605
Competitive Suppression,382.043912158658,381.700177370097,301.143328098634,423.208980954393,326.312860962469,397.901568339781,314.389646087048,402.733002509395
Direct Suppression,340.803501065916,369.772332466226,421.928599262073,325.389610727751,454.733712763868,353.309344915015,363.167312388158,327.800814443671
Generalized Competitive Suppression,419.500161492428,331.615177939027,355.71100712045,455.994456256588,285.550940774417,347.111457647906,372.563747202341,445.158682038204
Generalized Direct Suppression,298.420141393679,180.319894633023,338.377317291149,340.305011839303,308.149600196491,152.890032769889,296.634568555616,316.195724514976
ROE Competitive Suppression,300.013320810211,326.855170071007,321.136282639459,349.193892173016,364.040493266699,343.672024860176,280.430783676678,318.181275949185
ROE Direct Suppression,300.5565410984,328.44910817117,379.369284557198,329.285058248603,407.067650700903,338.699674772707,318.458446837767,312.436982682769
OML,292.001070785375,322.753110111695,382.037057677721,324.900013861552,424.157359041932,332.401787011425,313.953320445539,315.021590852483
GML,330.37107647339,162.260786223337,345.653246026011,376.361986419372,273.330586618665,191.648046499316,325.334934167111,355.395813087421
Competitive Suppression,398.286737027114,397.627652854665,337.795503230918,437.894981614343,350.16781164567,415.899402240937,355.794654427422,424.187892199836
Direct Suppression,319.475801576231,308.345701261094,424.852780101482,316.967497626274,440.297644897819,315.715192413993,342.601501671043,325.039128517229
Generalized Competitive Suppression,405.439750167188,330.959365390408,336.416847466895,438.527931535241,272.132351585212,339.997394103067,347.094873060837,430.411047976335
Generalized Direct Suppression,330.9092390408,201.905141210977,354.246520682466,365.720595517687,310.309190193938,168.291220092657,332.632058873224,353.35001608609
ROE Competitive Suppression,313.538879550512,317.905628203104,318.350508524002,353.801671120571,344.932868967175,336.577888599485,278.16655222321,333.261163186538
ROE Direct Suppression,324.79882577054,343.65455057944,394.250494303633,349.486712044688,417.018621822257,355.047359733627,346.780534702326,336.512305599621
OML,308.305390626986,337.764840169528,386.028205834976,338.662280733558,414.00877674114,358.064444621838,328.463682628464,333.026825667668
GML,303.831490060886,142.482591033704,350.291963724993,352.259973823685,299.671028609103,148.326375970834,307.204528096897,330.222255650314
Competitive Suppression,354.945554031303,369.438083431113,310.958056768854,396.496597001875,332.158820496599,380.212146949401,313.853348844912,379.043322744688
Direct Suppression,357.004358376392,364.242262626036,449.002700762021,337.093977473507,468.381865247828,356.419655895959,383.655563145501,359.328619801984
Generalized Competitive Suppression,397.365208794674,320.356916755326,313.895839003943,433.534810950047,240.124787613907,333.225297029575,328.06887918699,420.210345468894
Generalized Direct Suppression,317.586544560319,186.206043989266,332.940849468938,351.861390402263,288.594849466093,164.502096289995,306.931502222341,336.965805006697
ROE Competitive Suppression,325.677380380967,348.314086197582,341.49846773519,363.768789515588,380.273634882507,368.320296674993,295.554408353187,341.631832425341
ROE Direct Suppression,295.780014798708,318.946350092334,372.684159769852,338.721863078408,401.202567259273,346.079306780866,310.973230034174,318.043290985674
OML,310.334182829245,324.422621574431,360.09429685916,348.320904822341,381.455573289391,344.55470722372,315.933324756718,332.883687043402
GML,314.57893040081,156.323390033376,339.746131629321,351.647295635009,292.40281806056,150.080987863472,308.35504080577,335.705187678068
Competitive Suppression,398.549557868718,413.746092134799,336.933535170193,433.361713408181,345.96783408701,429.494801790124,352.691510087503,421.627599835612
Direct Suppression,323.281629027716,328.681006492543,410.281030401371,307.67196905942,434.483095570426,321.531582544171,342.899023327406,319.682882362089
Generalized Competitive Suppression,383.846380281815,288.439119041308,303.134899876178,422.981980891723,269.618044013609,303.464945955348,317.845007083596,408.093719752133
Generalized Direct Suppression,314.726757891987,195.59601122675,348.857196895702,346.588049475707,312.583993809691,154.714669838325,321.793122016583,326.39399379167
ROE Competitive Suppression,286.571835581428,301.052358630103,315.628587516002,328.961711512378,342.940803850014,317.007961521938,257.934225830443,305.623696865633
ROE Direct Suppression,325.049971152209,342.388170392369,401.989261284092,353.3829725428,418.562286870253,352.772265307437,346.889908208996,342.017506872398
OML,321.499397414357,336.898286397991,398.706651731622,339.763783752085,429.661832245585,349.339738796363,343.544499992219,343.458848153023
GML,305.365561274483,143.934333389736,324.10499758148,356.41699952731,270.139687037542,185.447674578688,293.239752221741,331.693911885609
Competitive Suppression,392.535801910578,403.361990961386,338.190379327446,427.713568294537,350.797652552891,424.474454808836,354.946424312063,416.047258977314
Direct Suppression,364.43143425605,387.602721902728,437.370137684927,348.847891307728,461.097893245297,373.149993866078,383.116190402546,364.229959420627
Generalized Competitive Suppression,405.566967698837,299.718168125427,347.208366491457,441.647755805909,262.310049569844,315.239414487113,359.611406937728,429.837586996131
Generalized Direct Suppression,315.906961947258,164.948869644912,325.332158681971,358.132881370094,272.573669539698,150.238758304395,304.2309747792,342.021237300868
ROE Competitive Suppression,284.07681690133,313.848745108247,324.083043575872,328.806184590853,356.136430047151,326.727034057645,268.175448809774,307.494131598661
ROE Direct Suppression,336.932504356098,357.943806147297,399.911665123888,360.33565956367,415.72810016347,369.080280929801,358.582947393163,352.810656366002
OML,300.932785917725,328.551843156764,371.332808881989,321.635005292204,400.87306399133,334.329622416949,318.049742952687,318.746836482475
GML,308.418745524194,166.185473082398,339.310796084495,359.135866038522,299.668201261045,186.158516199252,310.316266503292,333.833833237974
Competitive Suppression,373.503669307499,389.496638058471,298.360858008118,422.368889938847,325.117775817075,415.721290670886,307.926864886179,398.170950401937
Direct Suppression,359.855974480433,383.777248939206,429.971806266229,353.457595155068,448.835565201899,382.90224604365,383.806466214927,359.447066788394
Generalized Competitive Suppression,400.795145560506,313.012630968181,343.044249602577,435.765454199053,281.42481852346,324.027834882414,357.785743046614,423.049426197864
Generalized Direct Suppression,306.375551317174,182.219936318765,342.378465787358,348.484562819499,295.620623894221,157.882585028227,305.150440341648,329.284336636024
ROE Competitive Suppression,330.644409232316,346.087535818653,320.831381745997,365.081027853707,342.159439231616,362.297448340796,293.208148924085,349.935534306976
ROE Direct Suppression,317.457382256809,339.26111014971,392.894692593448,333.47978675509,414.214927533811,336.886725830902,341.126363959926,330.006888545475
OML,272.375068470788,304.753185596014,394.505734654453,300.38184189688,421.541280084061,325.411638880598,297.505325424729,292.953333071167
GML,311.424273856336,155.134141603074,328.523819281844,359.156992606916,293.667777426108,175.422898807532,302.153338841419,330.811274019006
Competitive Suppression,364.274438787631,367.274083058016,312.272599751222,417.836840217757,350.167250716636,391.758674004107,301.281498806361,386.111101590451
Direct Suppression,348.982449625231,364.163085927551,436.58589964893,333.65743025272,457.260747910086,359.623928326372,375.151283977815,351.930059113341
Generalized Competitive Suppression,381.704235919066,298.24136201675,303.505100365619,422.250088212552,232.300998173896,313.982967922284,325.846965698322,405.240106854557
Generalized Direct Suppression,315.669484919487,189.37570086144,342.780666109501,354.625121593025,308.387235865033,158.145582702952,312.067966552298,335.198385043851
ROE Competitive Suppression,316.844150747316,350.499082576807,342.28200067614,361.21758122813,374.324947307632,376.984685129041,304.250290350027,343.082111569373
ROE Direct Suppression,317.065740059623,328.448024515428,365.126516712892,360.302271724915,396.68638634027,347.411962194246,328.13788452438,339.109401783878
OML,307.994709217271,338.653258228401,398.802371459717,326.594178241212,437.239593419562,344.962328620673,330.719745230554,330.372653183316
GML,312.465166199201,173.646932864161,330.620506542607,360.863339175389,291.354437412263,185.016441098501,297.778522460862,339.076487341282
Competitive Suppression,357.230568011497,350.774194204796,312.302993901821,399.280230105664,305.933884524651,367.634470859899,325.721958915375,377.511301807639
Direct Suppression,371.315332128029,394.88345369745,430.628919031706,355.001454942861,464.209600397983,383.73751679199,388.421706465038,373.075793522957
Generalized Competitive Suppression,402.383998307492,296.971922891063,339.547491606244,438.290026661697,248.040377088559,311.071185603851,342.003586347807,423.329508238239
Generalized Direct Suppression,308.94058561006,200.782164222121,345.009035283794,347.855457666959,322.235535129376,170.928992219644,312.242941018087,334.377047863323
ROE Competitive Suppression,314.573903088276,306.093534414021,307.718333036097,352.896754862321,322.802736078607,322.564443131078,280.240037123566,335.566933990159
ROE Direct Suppression,299.191364694972,312.587446691708,365.15089049421,342.96874757869,401.122575845307,322.227187846526,306.925729889521,314.793985715783
OML,305.288797980062,324.13528466834,367.696844542901,337.015757277946,395.132146407996,328.409441859564,318.533687358648,329.778664670439
GML,304.319605891296,164.863699967097,322.29974822143,360.687499449488,293.168151219179,198.93641965271,297.553617017212,328.465206967024
Competitive Suppression,383.513616493158,391.43400335904,327.204255080834,418.808874917849,351.947555516937,403.807979829712,347.959269206281,407.494926951701
